datetime,open,high,low,close
2024-09-02,2502.65991,2507.3501,2490.12012,2499.46997
2024-08-30,2521.03003,2526.80005,2494.34009,2503.44995
2024-08-29,2504.94995,2528.6499,2503.68994,2521.16992
2024-08-28,2525.27002,2529.01001,2493.71997,2504.72998
2024-08-27,2518.07007,2525.97998,2503.63989,2524.58008
2024-08-26,2512.12012,2526.8501,2508.78003,2518.04004
2024-08-23,2485.12012,2518.36011,2484.48999,2512.40991
2024-08-22,2511.96997,2514.68994,2470.90991,2484.80005
2024-08-21,2513.46997,2520.02002,2494.46997,2512.40991
2024-08-20,2503.42993,2531.71997,2497.38989,2514.02002
2024-08-19,2506.40991,2507.46997,2485.82007,2504.31006
2024-08-16,2456.19995,2509.72998,2450.82007,2507.69995
